Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1.0,Luisangel Acuña,22.0,110,492,456,81,120,19,5,6,41,32,13,30,79,0.263,0.31,0.366,0.676,167,12,2,2,2,0,
2.0,Austin Allen*,30.0,31,105,99,11,28,3,0,6,18,0,0,4,30,0.283,0.314,0.495,0.809,49,2,1,0,1,0,
3.0,Rylan Bannon,28.0,79,342,276,50,70,14,1,15,57,7,4,60,79,0.254,0.392,0.475,0.866,131,7,4,0,2,0,
4.0,Brett Baty*,24.0,56,247,212,37,55,9,0,16,42,1,0,30,50,0.259,0.356,0.528,0.885,112,3,3,0,2,0,
5.0,Jackie Bradley Jr.*,34.0,13,53,47,4,11,3,0,2,6,3,1,5,13,0.234,0.302,0.426,0.727,20,0,0,0,1,0,
6.0,Mike Brosseau,30.0,77,310,265,53,76,8,0,13,34,2,1,34,58,0.287,0.384,0.464,0.848,123,12,9,0,2,0,
7.0,Jiman Choi*,33.0,26,104,84,7,16,2,0,4,12,0,0,17,29,0.191,0.317,0.357,0.674,30,0,0,0,3,0,
8.0,Carlos Cortes*,27.0,59,221,189,31,46,7,0,9,37,2,1,29,38,0.243,0.339,0.423,0.763,80,6,0,0,3,0,
9.0,Ben Gamel*,32.0,45,190,156,35,49,12,1,7,24,0,0,31,46,0.314,0.423,0.539,0.962,84,0,0,1,2,0,
10.0,Drew Gilbert*,23.0,26,107,93,5,19,3,0,1,5,1,1,11,27,0.204,0.308,0.269,0.577,25,0,3,0,0,0,
11.0,Joe Hudson,33.0,26,89,71,12,18,3,0,4,10,4,0,14,29,0.254,0.405,0.465,0.869,33,0,4,0,0,0,
12.0,Jose Iglesias,34.0,42,175,165,26,45,7,0,7,29,1,0,9,29,0.273,0.309,0.442,0.751,73,4,0,0,1,0,
13.0,Taylor Kohlwey*,29.0,11,37,34,3,3,1,0,0,2,0,0,3,13,0.088,0.162,0.118,0.28,4,0,0,0,0,0,
14.0,Starling Marte,35.0,3,12,11,1,2,1,0,0,1,0,0,0,0,0.182,0.167,0.273,0.439,3,1,0,0,1,0,
15.0,J.D. Martinez,36.0,2,8,8,1,3,1,0,0,3,0,0,0,1,0.375,0.375,0.5,0.875,4,0,0,0,0,0,
16.0,Tomás Nido,30.0,9,30,29,3,10,2,0,1,2,0,0,0,6,0.345,0.345,0.517,0.862,15,0,0,1,0,0,
17.0,Matt O'Neill,26.0,21,59,50,10,8,3,0,1,5,0,0,7,22,0.16,0.259,0.28,0.539,14,2,0,1,1,0,
18.0,Logan Porter,28.0,12,41,34,3,5,1,0,1,5,0,0,5,14,0.147,0.293,0.265,0.557,9,2,2,0,0,0,
19.0,Pablo Reyes,30.0,54,217,189,37,55,6,2,9,34,9,2,24,34,0.291,0.367,0.487,0.854,92,3,0,2,2,0,
20.0,Luke Ritter,27.0,108,453,383,64,101,20,2,23,81,3,1,57,133,0.264,0.375,0.507,0.882,194,18,12,0,1,0,
21.0,Eddie Rosario*,32.0,4,17,16,1,3,1,1,1,2,0,0,1,5,0.188,0.235,0.563,0.798,9,0,0,0,0,0,
22.0,Yolmer Sanchez#,32.0,84,289,245,39,50,15,0,5,31,5,0,37,60,0.204,0.322,0.327,0.648,80,7,6,0,1,2,
23.0,JT Schwartz*,24.0,23,84,75,5,15,4,0,1,7,0,0,4,16,0.2,0.274,0.293,0.567,22,2,4,0,1,0,
24.0,Hayden Senger,27.0,40,137,119,17,31,10,1,3,24,0,0,11,31,0.261,0.341,0.437,0.778,52,4,4,2,1,0,
25.0,DJ Stewart*,30.0,13,51,37,6,10,2,0,2,3,2,0,12,14,0.27,0.471,0.487,0.957,18,2,2,0,0,0,
26.0,Rhylan Thomas*,24.0,49,196,183,35,43,11,0,5,18,5,2,13,24,0.235,0.286,0.377,0.663,69,1,0,0,0,0,
27.0,Trayce Thompson,33.0,62,253,224,36,51,13,0,16,44,6,1,24,65,0.228,0.3,0.5,0.8,112,5,1,0,4,1,
28.0,Mark Vientos,24.0,31,133,116,21,33,5,1,6,30,0,0,16,38,0.285,0.376,0.5,0.876,58,1,1,0,0,0,
,28 Players,28.0,119,4452,3866,634,976,186,14,164,607,83,27,488,983,0.253,0.343,0.435,0.778,1682,94,58,9,31,3,
