Player,PA,AB,K%,BB%,Whiffs,Swings,xBA,xOBP,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
"Acuña, Luisangel NYM #12",472,440,15.9,5.9,180,840,0.236,0.286,0.327,0.303,0.273,13,0.313,0.107,21.4,88.2,91.5,4,128,36.2,3.5,2.8
"Allen, Austin",102,96,28.4,3.9,62,204,0.182,0.225,0.293,0.347,0.229,3,0.339,0.219,30.4,88.7,91.2,18,143,33.8,4.4,2.9
"Bannon, Rylan",336,271,22.9,17.6,187,622,0.22,0.368,0.362,0.38,0.335,13,0.298,0.225,30.1,89.1,91.7,15,157,42.3,6.6,3.9
"Baty, Brett",236,202,20.3,12.7,113,429,0.271,0.37,0.534,0.367,0.389,24,0.248,0.262,26.3,88.1,92.7,14,168,44.9,15.4,10.2
"Bradley Jr., Jackie",45,41,24.4,8.9,23,90,0.257,0.323,0.46,0.306,0.337,2,0.25,0.195,25.6,86.1,91.1,14,129,33.3,6.7,4.4
"Brosseau, Mike",297,254,18.9,10.8,130,514,0.25,0.355,0.399,0.37,0.336,11,0.324,0.173,25.3,88.1,91.1,13,150,38.5,5.5,3.7
"Choi, Ji Man",104,84,27.9,16.3,59,189,0.212,0.336,0.398,0.3,0.321,6,0.222,0.167,31.2,91.4,92.0,13,180,46.6,10.3,5.8
"Cortes, Carlos",216,186,17.6,12.5,82,364,0.26,0.353,0.447,0.326,0.35,11,0.246,0.183,22.5,91.1,92.3,17,166,40.4,7.3,5.1
"Gamel, Ben",189,156,24.3,16.4,76,297,0.269,0.389,0.427,0.412,0.363,10,0.4,0.224,25.6,91.2,92.4,21,155,46.4,8.9,5.3
"Gilbert, Drew MLB #81 / #NYM #3",97,84,24.7,11.3,47,166,0.193,0.301,0.266,0.28,0.264,2,0.288,0.071,28.3,85.4,91.1,19,148,25.0,3.3,2.1
"Hudson, Joe",88,71,33.0,14.8,43,151,0.196,0.351,0.359,0.38,0.324,4,0.368,0.211,28.5,91.7,91.7,17,160,40.5,9.5,4.5
"Iglesias, Jose",174,165,16.7,4.6,72,333,0.258,0.293,0.383,0.321,0.294,6,0.292,0.17,21.6,85.4,91.2,8,146,34.3,4.4,3.4
"Kohlwey, Taylor",37,34,35.1,8.1,18,72,0.114,0.186,0.133,0.137,0.155,0,0.143,0.029,25.0,80.1,90.9,23,121,4.8,0.0,0.0
"Marte, Starling",12,11,0.0,0.0,4,22,0.292,0.3,0.348,0.178,0.287,0,0.167,0.091,18.2,88.1,92.6,-4,95,33.3,0.0,0.0
"Martinez, J.D.",8,8,12.5,0.0,2,16,0.362,0.362,0.508,0.377,0.371,1,0.429,0.125,12.5,96.1,93.2,9,177,71.4,14.3,12.5
"Nido, Tomás",29,29,20.7,0.0,14,55,0.279,0.279,0.549,0.37,0.349,3,0.409,0.172,25.5,90.7,92.2,15,147,47.8,13.0,10.3
"O'Neill, Matt",57,49,38.6,12.3,46,104,0.124,0.233,0.224,0.248,0.217,1,0.259,0.122,44.2,88.8,90.7,14,152,39.3,3.6,1.8
"Porter, Logan",36,31,33.3,11.1,30,68,0.159,0.276,0.27,0.227,0.254,1,0.167,0.097,44.1,84.4,90.2,14,159,15.8,5.3,2.8
"Reyes, Pablo",201,176,15.4,11.4,53,333,0.273,0.356,0.419,0.361,0.341,7,0.302,0.188,15.9,88.2,91.4,14,158,37.4,4.8,3.5
"Ritter, Luke",444,375,29.3,12.6,272,791,0.248,0.363,0.475,0.385,0.365,37,0.345,0.248,34.4,90.8,92.2,10,152,47.6,15.0,8.3
"Rosario, Eddie",7,6,42.9,14.3,5,10,0.045,0.182,0.051,0.099,0.134,0,0.0,0.0,50.0,80.0,88.8,17,97,0.0,0.0,0.0
"Schwartz, JT",84,75,19.0,4.8,26,166,0.216,0.288,0.348,0.256,0.282,2,0.237,0.093,15.7,88.5,91.0,24,180,35.0,3.3,2.4
"Senger, Hayden",131,115,23.7,8.4,65,241,0.226,0.315,0.346,0.33,0.296,4,0.317,0.165,27.0,85.5,91.0,10,147,28.2,4.7,3.1
"Stewart, DJ",42,31,31.0,23.8,29,77,0.252,0.448,0.432,0.416,0.396,3,0.471,0.161,37.7,89.4,91.2,14,124,44.4,16.7,7.1
"Sánchez, Yolmer",280,238,21.4,12.5,146,527,0.222,0.335,0.328,0.283,0.302,7,0.23,0.122,27.7,87.4,90.6,18,163,31.3,3.9,2.5
"Thomas, Rhylan",192,179,12.5,6.8,54,387,0.203,0.257,0.281,0.286,0.242,1,0.24,0.145,14.0,86.4,89.6,11,162,23.2,0.6,0.5
"Thompson, Trayce",252,224,25.8,9.1,146,468,0.217,0.292,0.409,0.337,0.307,20,0.238,0.272,31.2,89.9,92.1,17,154,39.9,12.3,7.9
"Vientos, Mark",132,116,28.8,11.4,79,238,0.237,0.331,0.444,0.376,0.337,10,0.375,0.216,33.2,91.8,92.8,5,151,47.4,12.8,7.6
