Player,Age,G,PA,AB,R,Hits,1B,2B,3B,HR,RBI,SO,BB,BA,OBP,SLG,OPS,TB,GDP,HBP
"Acuña, Luisangel NYM #12",22.0,109,472,440,81,119,89,19,5,6,41,75,28,0.27,0.316,0.377,0.679,167,12,2
"Allen, Austin",30.0,30,102,96,11,27,18,3,0,6,18,29,4,0.281,0.314,0.5,0.814,48,2,1
"Bannon, Rylan",28.0,79,336,271,50,69,39,14,1,15,57,77,59,0.255,0.393,0.48,0.866,131,7,4
"Baty, Brett",24.0,56,236,202,37,50,27,8,0,15,42,48,30,0.248,0.347,0.51,0.885,112,3,3
"Bradley Jr., Jackie",34.0,12,45,41,4,9,5,2,0,2,6,11,4,0.22,0.289,0.415,0.744,20,0,0
"Brosseau, Mike",30.0,76,297,254,52,73,53,8,0,12,33,56,32,0.287,0.384,0.461,0.839,119,12,9
"Choi, Ji Man",33.0,26,104,84,7,16,10,2,0,4,12,29,17,0.19,0.317,0.357,0.674,30,0,0
"Cortes, Carlos",27.0,59,216,186,31,44,28,7,0,9,37,38,27,0.237,0.329,0.419,0.763,80,6,0
"Gamel, Ben",32.0,45,189,156,35,49,29,12,1,7,24,46,31,0.314,0.423,0.538,0.962,84,0,0
"Gilbert, Drew MLB #81 / #NYM #3",23.0,25,97,84,5,18,14,3,0,1,5,24,11,0.214,0.32,0.286,0.589,25,0,2
"Hudson, Joe",33.0,26,88,71,12,18,11,3,0,4,10,29,13,0.254,0.398,0.465,0.869,33,0,4
"Iglesias, Jose",34.0,42,174,165,26,45,31,7,0,7,29,29,8,0.273,0.305,0.442,0.751,73,4,0
"Kohlwey, Taylor",29.0,11,37,34,3,3,2,1,0,0,2,13,3,0.088,0.162,0.118,0.28,4,0,0
"Marte, Starling",35.0,3,12,11,1,2,1,1,0,0,1,0,0,0.182,0.167,0.273,0.439,3,1,0
"Martinez, J.D.",36.0,2,8,8,1,3,2,1,0,0,3,1,0,0.375,0.375,0.5,0.875,4,0,0
"Nido, Tomás",30.0,9,29,29,3,10,7,2,0,1,2,6,0,0.345,0.345,0.517,0.862,15,0,0
"O'Neill, Matt",26.0,21,57,49,10,8,4,3,0,1,5,22,7,0.163,0.263,0.286,0.539,14,2,0
"Porter, Logan",28.0,11,36,31,3,4,3,0,0,1,5,12,4,0.129,0.25,0.226,0.557,9,2,2
"Reyes, Pablo",30.0,53,201,176,37,50,35,5,2,8,34,31,23,0.284,0.363,0.472,0.872,92,3,0
"Ritter, Luke",27.0,107,444,375,64,100,55,20,2,23,81,130,56,0.267,0.378,0.515,0.887,194,18,12
"Rosario, Eddie",32.0,3,7,6,0,0,0,0,0,0,1,3,1,0.0,0.143,0.0,0.648,5,0,0
"Schwartz, JT",32.0,83,84,75,39,15,10,4,0,1,31,16,4,0.2,0.274,0.293,0.648,80,7,6
"Senger, Hayden",24.0,23,131,115,5,29,17,8,1,3,7,31,11,0.252,0.336,0.417,0.567,22,2,4
"Stewart, DJ",27.0,40,42,31,17,9,6,2,0,1,24,13,10,0.29,0.476,0.452,0.778,52,4,4
"Sánchez, Yolmer",30.0,12,280,238,5,45,26,14,0,5,2,60,35,0.189,0.307,0.311,0.914,14,2,2
"Thomas, Rhylan",24.0,49,192,179,35,41,25,11,0,5,18,24,13,0.229,0.281,0.374,0.663,69,1,0
"Thompson, Trayce",33.0,62,252,224,36,51,22,13,0,16,44,65,23,0.228,0.298,0.5,0.8,112,5,1
"Vientos, Mark",24.0,31,132,116,21,33,21,5,1,6,30,38,15,0.284,0.371,0.5,0.876,58,1,1
